SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
3849	1803	1347	2679	1639	1277	2605	1966	2183	3667	55	1782
2538	923	833	1181	696	649	1247	986	1253	1855	26	1014
4032	1318	1414	1942	1261	1344	2157	1719	2017	2962	52	1949
3502	2006	2415	2471	2396	2424	2569	2926	4284	3683	68	3363
4735	2797	2818	3051	2833	2667	3615	3932	5652	4878	120	4136
4854	1730	1331	2428	1575	1348	3494	2235	2559	4777	115	2128
2409	1280	1073	1000	668	612	1387	1166	1482	1929	34	1269
2813	1407	1506	3238	2109	2300	2389	2272	3195	3664	87	2808
8964	4080	6893	6113	5286	5455	4633	7224	8637	6018	283	9448
6115	2681	5280	5058	4635	4771	3315	5523	6771	4423	194	7628
5240	1644	1521	1978	1045	1094	2651	1782	2430	3718	46	2112
22	13	38	33	35	27	14	44	53	18	3	53
388	186	216	368	355	478	293	440	698	228	12	455
77	33	24	38	24	36	44	39	43	40	1	35
38	12	10	23	17	12	13	16	18	20	0	14
5809	2294	2670	3026	2520	2783	4081	3847	5800	5573	129	4194
258	50	116	541	711	594	343	375	443	534	16	584
162	109	158	31	40	49	112	83	193	144	135	138
636	583	603	200	297	266	441	458	681	572	673	581
446	383	435	102	148	145	302	289	445	367	363	383
171	164	194	25	30	40	99	87	157	87	131	131
347	257	296	93	84	113	230	262	390	303	230	315
2266	721	808	1722	1125	877	1738	1079	1486	2342	34	1141
1486	607	650	952	549	585	994	705	878	1196	26	811
121	46	82	38	26	47	72	63	142	69	1	130
2868	1085	2102	3356	1471	1716	1942	2227	3958	2655	105	3799
1659	626	553	634	461	413	684	614	702	1016	45	696
1362	928	1088	724	550	628	855	976	1495	1294	34	1139
4	5	2	0	0	0	0	0	0	0	0	0
1288	892	1026	647	502	526	806	895	1352	1217	30	1022
141	82	105	86	51	101	94	113	179	112	5	131
4743	2391	2106	2258	1951	1785	2909	2785	3470	3838	81	2869
3402	1120	944	1579	868	930	2150	1317	1663	3077	58	1471
44	40	45	64	47	45	28	52	65	39	0	66
7194	5872	5300	2193	2619	2312	4692	5950	8669	6289	172	6263
6777	5678	5095	2062	2529	2215	4480	5690	8366	5980	163	5991
6894	1826	2419	2710	2391	2206	2260	2881	3487	2969	160	3723
413	457	423	202	155	177	243	389	554	204	11	414
1	1	0	73	76	60	80	77	93	71	9	61
7	3	6	1	1	2	2	4	4	3	1	5
1	2	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
13	6	3	5	1	3	1	3	5	3	0	0
5	4	0	0	2	0	1	3	2	1	0	1
0	4	0	3	1	2	2	0	3	2	0	2
716	488	774	1304	1154	1373	475	858	1509	582	32	1342
2565	3635	7653	1382	1473	1343	1124	1242	2677	2283	589	3095
4	3	2	2	0	0	3	5	2	0	0	1
1	0	1	1	0	2	1	1	1	3	1	0
3	0	3	34	14	18	17	13	14	27	0	13
304	97	138	1003	754	683	282	336	516	642	11	457
11	1	14	20	3	0	0	2	0	0	1	3
2560	989	987	1429	1127	1209	1605	1228	1753	1850	46	1440
7504	2933	3420	4891	3253	3918	4681	3820	5606	5661	121	4664
17332	9194	13568	12881	10806	13506	17711	14364	21212	17045	469	19389
3213	2250	1808	2891	2577	2015	2359	2881	3196	3199	68	2694
2340	726	658	940	539	582	1244	794	1052	1592	37	954
18440	11564	10508	11032	9756	9360	18542	16860	21659	20546	689	16353
10309	4639	4174	5466	3488	3315	7948	6157	7872	9470	415	5624
3653	3978	4044	6452	5646	6364	4683	7047	10122	5101	316	8004
