SRR1566022	SRR1566023	SRR1566024	SRR1566028	SRR1566029	SRR1566030	SRR2773794	SRR2773795	SRR2773796	SRR2773797	SRR2773798	SRR2773799
0	0	0	2	2	0	2	2	0	1	0	3
312	334	520	510	348	309	296	597	808	296	70	895
15	7	19	9	5	9	6	11	26	4	0	12
4	1	1	0	1	3	1	3	1	2	0	5
30	8	25	8	4	2	2	13	23	9	0	41
535	205	602	363	380	434	201	440	677	285	18	825
54	49	140	68	56	80	12	70	149	43	4	176
1866	649	645	1541	797	844	1271	999	1302	1892	37	1115
6650	5374	5838	7871	6134	6698	6462	9474	12973	8516	359	10395
9420	4536	3941	7442	5424	4862	8075	6676	7771	9950	295	6935
4653	2744	2668	4210	3985	4010	4493	5328	7119	6276	197	5077
1	1	2	3	3	4	0	1	7	2	0	8
56	53	170	87	91	120	65	146	216	50	8	236
3991	2458	2935	4514	1645	2416	2498	3063	4539	2722	74	3506
3025	1933	1876	1823	1669	1608	1971	2148	2921	2464	70	2355
1250	565	374	693	446	381	866	670	688	958	23	558
2851	1416	1717	2037	1532	1505	1626	1695	2487	1974	69	2435
7036	2214	1885	4918	2260	2556	4490	2846	3747	5692	85	3118
2898	1244	1194	1721	1080	1107	1842	1434	1843	2280	40	1602
4679	2416	4231	5775	4773	6198	6431	5202	6849	5043	208	7729
2178	628	849	1425	695	875	1630	875	1548	2373	23	1257
4702	1819	1457	3121	1719	1625	3374	2185	2571	4689	72	2217
5764	2537	2247	5148	3078	3155	4610	3510	4361	6316	124	4022
2115	1111	1064	2001	1502	1551	1669	1719	2125	2371	45	1954
17039	13607	13793	14767	17464	18012	14362	24417	32271	18688	757	23846
4672	2511	4291	1609	1103	1384	1131	2980	3590	2956	127	5935
2614	1739	1777	2403	1563	1854	2027	2136	3000	2896	89	2665
2428	1615	1729	2298	1492	1815	1894	2037	2923	2752	88	2594
2555	882	972	1611	1096	1092	1433	1341	1791	2126	35	1465
433	191	195	16	17	25	98	115	186	168	2	170
1824	1354	1913	3515	3982	7884	3712	4214	8617	5059	1172	4687
8399	4002	4240	4584	3650	3852	5748	5238	7655	7732	213	5810
1918	1318	944	1013	901	812	1247	1501	1722	1620	39	1244
60	41	70	37	57	71	70	84	148	78	4	121
2254	1225	1335	2092	1569	1761	2195	2164	3147	2459	114	2428
1579	800	638	1139	914	794	1045	1006	1223	1588	34	1039
1955	1049	803	2210	1599	1274	1767	1385	1660	2644	34	1473
176	64	93	347	138	198	152	111	191	227	3	207
2810	1733	2137	3402	2600	2750	2388	2870	4043	3464	67	3567
681	634	615	836	585	726	809	1104	1516	692	29	1013
6	12	13	5	3	5	4	16	41	8	4	21
1068	691	913	666	691	842	671	977	1610	856	46	1209
4808	3252	3304	3291	3407	3471	3532	4744	6724	4576	179	4704
9668	5080	5493	10073	7780	8490	8867	9775	12936	10530	432	10786
3055	1460	1395	1611	1183	1139	2293	1855	2550	2894	97	1918
5	6	4	0	1	2	5	7	6	4	2	11
18478	13970	18477	13377	19611	21920	15815	22165	38545	22850	532	26542
1321	645	768	1177	702	883	1230	1015	1399	1717	44	1243
2744	1041	1226	2102	1275	1649	1863	1482	2272	2423	53	2233
40917	22103	27055	27672	25108	27331	35671	35606	54555	50351	1149	43843
17142	7538	9195	13116	9001	9763	12986	12292	17129	19100	363	13773
1265	834	840	39	29	34	464	578	772	655	23	704
282	280	814	14	85	60	76	49	116	178	90	145
30363	17215	19186	19465	20511	19993	19697	24456	34241	29331	743	27733
5	3	4	0	3	0	0	1	4	3	1	1
247	241	238	206	349	362	259	408	615	204	8	328
30	18	14	6	7	6	17	9	21	13	0	15
2879	1548	1077	2247	1462	1190	2451	1621	2062	3172	79	1615
12271	5355	4435	6118	5366	4784	8617	7475	9280	12121	718	6737
4	7	8	3	5	6	8	7	11	15	35	7
0	3	0	1	0	0	2	0	1	3	0	2
0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	9	2	3	5	3	3	1	0	3
3	0	0	3	6	2	6	5	8	3	3	2
4	5	3	12	2	2	7	8	9	5	1	3
12	27	35	21	17	17	5	20	38	5	0	67
392	764	974	869	1087	1419	538	1550	2443	537	92	1678
5102	2744	2590	4558	3241	3028	3697	3756	4745	5317	137	4063
12387	5739	6898	10576	7402	8388	9895	8053	12336	13928	505	10322
6	1	5	2	3	5	1	0	1	2	0	1
55	45	59	107	76	112	66	98	138	67	6	102
781	621	1563	309	436	333	253	187	523	460	134	592
105	18	30	368	99	112	103	72	69	88	9	203
4	3	15	1	0	0	5	1	4	2	3	3
28	19	16	11	14	14	8	6	19	16	3	23
14	6	5	2	1	1	2	5	7	3	0	2
9	1	4	0	0	0	0	3	5	3	0	4
191	198	211	397	268	412	268	396	691	237	25	427
184	122	95	294	136	194	251	183	261	181	2	166
3	0	2	6	3	3	0	7	4	0	1	5
7	2	2	0	2	0	1	3	4	5	1	2
5	1	1	30	22	30	12	10	8	15	5	7
4259	2005	2262	3375	2329	2888	3849	3064	5171	4161	120	3505
11335	4056	4269	6523	4669	4537	9051	6476	8819	12391	390	6731
2155	809	682	1393	996	1025	1632	1123	1625	2415	69	1148
129	8	17	7	70	34	3	1	5	27	20	12
3	0	9	15	7	2	5	2	5	1	0	10
4	0	1	3	4	2	3	1	0	2	0	2
230	69	98	27	7	13	70	50	76	64	2	67
45	11	17	9	2	5	12	10	15	13	0	10
